"Aachen (germany)    ","01.00E","006.05E","50.47N"
"Abadan (iran)       ","03.30E","048.25E","30.27N"
"Abashiri            ","09.00E","144.15E","44.00N"
"Abdullapur          ","05.30E","070.17E","30.07N"
"Aberdeen            ","00.00W","002.05W","57.09N"
"Abha (saudi arabia) ","03.00E","042.34E","18.00N"
"Abhanpur            ","05.00E","081.46E","21.05N"
"Abqaiq (saudia)     ","03.00E","049.45E","26.00N"
"Abu                 ","05.30E","072.50E","24.41N"
"Abu dhabi (uae)     ","04.00E","054.00E","24.30N"
"Abu road            ","05.30E","072.59E","24.30N"
"Acapulco (mexico)   ","06.00W","100.00W","17.00N"
"Accra (ghana)       ","00.00W","000.15W","05.31N"
"Achalda             ","05.30E","079.24E","26.44N"
"Achalpur            ","05.30E","077.30E","21.19N"
"Achanta             ","05.30E","081.55E","16.37N"
"Achhnera            ","05.30E","077.45E","27.10N"
"Achill (ireland)    ","00.00W","010.00W","53.57N"
"Achota              ","05.30E","081.39E","20.40N"
"Adapur              ","05.30E","084.57E","26.57N"
"Adbhar              ","05.30E","083.04E","21.57N"
"Addamman (saudia)   ","03.00E","050.05E","26.20N"
"Addanki (ap)        ","05.30E","080.01E","15.49N"
"Addatigala          ","05.30E","082.03E","17.31N"
"Addis ababa         ","03.00E","038.44E","09.02N"
"Adegon (m.p)        ","05.30E","079.32E","22.38N"
"Adelaide (australia)","10.00E","138.38E","35.57S"
"Aden (yemen)        ","03.00E","045.00E","13.00N"
"Adesar              ","05.30E","070.58E","23.36N"
"Adhaura             ","05.30E","083.37E","24.43N"
"Adhoi               ","05.30E","070.32E","23.25N"
"Adige r. (italy)    ","01.00E","012.00E","45.10N"
"Adilabad (ap)       ","05.30E","078.30E","19.37N"
"Adiramapattinam     ","05.30E","079.24E","10.21N"
"Adoni (ap)          ","05.30E","077.19E","15.38N"
"Adriatic sea (italy)","01.00E","020.00E","43.00N"
"Adur                ","05.30E","076.46E","09.10N"
"Afzalgarh           ","05.30E","078.41E","29.24N"
"Agalawattha (sl)    ","05.30E","080.10E","06.28N"
"Agar (m.p)          ","05.30E","076.01E","23.44N"
"Agarapathana (sl)   ","05.30E","080.40E","06.47N"
"Agartala            ","05.30E","091.15E","23.49N"
"Agashi              ","05.30E","072.50E","19.30N"
"Agasode             ","05.30E","078.10E","24.17N"
"Agiaon              ","05.30E","084.37E","25.22N"
"Agil dawan pass     ","05.30E","076.27E","36.13N"
"Agori khas          ","05.30E","082.57E","24.33N"
"Agra                ","05.30E","078.05E","27.10N"
"Agumbe              ","05.30E","075.02E","13.30N"
"Ahangama (sl)       ","05.30E","080.22E","05.54N"
"Ahar                ","05.30E","073.48E","24.33N"
"Aharula             ","05.30E","082.55E","26.12N"
"Ahiri               ","05.30E","080.04E","19.26N"
"Ahmadnagar          ","05.30E","073.02E","23.38N"
"Ahmadpur (marashtra)","05.30E","076.57E","18.40N"
"Ahmadpur (w.b.)     ","05.30E","087.41E","23.50N"
"Ahmedabad           ","05.30E","072.40E","23.03N"
"Ahmednagar          ","05.30E","074.48E","19.08N"
"Ahmedpur            ","05.30E","076.50E","19.40N"
"Ahraura             ","05.30E","083.02E","25.01N"
"Ahvaz (iran)        ","03.30E","048.43E","31.17N"
"Ahwa                ","05.30E","073.41E","20.44N"
"Aigain              ","05.30E","080.37E","26.37N"
"Aihun               ","08.00E","127.34E","50.02N"
"Aijal               ","05.30E","092.45E","23.45N"
"Aimangula           ","05.30E","076.30E","14.09N"
"Airwa               ","05.30E","079.25E","26.54N"
"Ait                 ","05.30E","079.14E","25.54N"
"Ajaigarh            ","05.30E","080.15E","24.54N"
"Ajanta              ","05.30E","075.48E","20.30N"
"Ajmer               ","05.30E","074.42E","26.27N"
"Ajra                ","05.30E","074.17E","16.08N"
"Akajhiri            ","05.30E","077.51E","25.07N"
"Akalkot             ","05.30E","076.14E","17.31N"
"Akbarpur            ","05.30E","083.58E","24.39N"
"Akbarpur (faizabad) ","05.30E","082.32E","26.25N"
"Akbarpur (kanpur)   ","05.30E","079.57E","26.21N"
"Akhegarh            ","05.30E","077.04E","27.14N"
"Akita               ","09.00E","140.00E","39.40N"
"Akkarapatthu (sl)   ","05.30E","081.52E","07.10N"
"Aklera              ","05.30E","076.32E","24.26N"
"Aknur               ","05.30E","074.46E","32.53N"
"Akodha              ","05.30E","081.53E","25.14N"
"Akodia              ","05.30E","076.38E","23.20N"
"Akola (ahmednagar)  ","05.30E","074.03E","19.32N"
"Akola (bombay)      ","05.30E","077.05E","20.40N"
"Akot                ","05.30E","077.08E","21.06N"
"Akrabad             ","05.30E","078.16E","27.49N"
"Aksai chin lake     ","05.30E","079.45E","35.08N"
"Aksu                ","08.00E","080.05E","41.04N"
"Aktagh (kashmir)    ","05.30E","078.13E","35.57N"
"Akurana (sl)        ","05.30E","080.38E","07.19N"
"Akuressa (sl)       ","05.30E","080.28E","06.02N"
"Akyab (burma)       ","06.30E","092.57E","20.09N"
"alabama             ","05.00W","086.13W","32.00N"
"Alagalle (sl)       ","05.30E","080.29E","07.14N"
"Alagapuram          ","05.30E","078.53E","11.54N"
"Alamarah            ","03.00E","047.15E","31.55N"
"Alamnagar           ","05.30E","086.54E","25.34N"
"Alampur (a.p)       ","05.30E","078.06E","15.55N"
"Alampur (ap)        ","05.30E","078.11E","15.54N"
"Alampur (m.p.)      ","05.30E","078.46E","26.00N"
"Aland  (kr)         ","05.30E","076.35E","17.36N"
"Aland is.(finland)  ","02.00E","020.00E","60.30N"
"Alangudi            ","05.30E","078.59E","10.22N"
"Alapakkam           ","05.30E","079.44E","11.36N"
"Alapalawala (sl)    ","05.30E","080.23E","07.08N"
"Alapur              ","05.30E","079.16E","27.57N"
"Alaska (usa)        ","09.00W","150.00W","65.00N"
"Alaut               ","05.30E","075.40E","23.56N"
"Alawatha (sl)       ","05.30E","080.10E","06.28N"
"Alawathugoda (sl)   ","05.30E","080.37E","07.21N"
"Albaka              ","05.30E","080.43E","18.15N"
"Albany (new york)   ","05.00W","073.44W","42.42N"
"Albany (w.australia)","08.00E","118.00E","35.00S"
"Albert l. (uganda)  ","03.00E","031.00E","01.50N"
"Alberta (canada)    ","08.00W","117.30W","52.15N"
"Albuquerque (usa)   ","06.00W","106.40W","35.00N"
"Aldershot           ","00.00W","000.45W","51.17N"
"Aleppo (syria)      ","02.00E","037.00E","36.10N"
"Alessandria (italy) ","01.00E","008.39E","44.54N"
"Alexandria (egypt)  ","02.00E","030.00E","31.00N"
"Alfaujah (iraq)     ","03.00E","043.55E","33.20N"
"Alhillah (iraq)     ","03.00E","044.25E","32.30N"
"Alhufuf (saudia)    ","03.00E","049.48E","22.25N"
"Ali khera           ","05.30E","079.10E","27.18N"
"Alibag              ","05.30E","072.55E","18.38N"
"Aliganj (kheri-u.p) ","05.30E","080.36E","28.07N"
"Aliganj (up)        ","05.30E","079.10E","27.30N"
"Aligarh             ","05.30E","078.04E","27.54N"
"Aligarh (aligarh)   ","05.30E","078.04E","27.54N"
"Aligarh (hardoi u.p)","05.30E","079.41E","27.29N"
"Aligarh (rajasthan) ","05.30E","076.09E","25.58N"
"Alikhar             ","05.30E","077.16E","17.47N"
"Alipur (maharashtra)","05.30E","078.41E","20.32N"
"Alipur (w.b)        ","05.30E","089.38E","26.29N"
"Alipura (m.p)       ","05.30E","079.20E","25.10N"
"Alirajpur           ","05.30E","074.22E","22.18N"
"Aliwal              ","05.30E","075.38E","30.57N"
"Aljawf (saudi arab) ","03.00E","039.40E","29.55N"
"Allagadda           ","05.30E","078.30E","15.08N"
"Allahabad           ","05.30E","081.54E","25.28N"
"Allahaganj          ","05.30E","079.41E","27.33N"
"Allei (sl)          ","05.30E","081.17E","08.19N"
"Alleppey            ","05.30E","076.23E","09.30N"
"Alleppey (dist.)    ","05.30E","076.23E","09.30N"
"Allikher            ","05.30E","077.14E","18.10N"
"Allpur              ","05.30E","077.06E","28.48N"
"Allur (ap)          ","05.30E","080.05E","14.41N"
"Almora              ","05.30E","079.40E","29.36N"
"Almubarraz (saudia) ","03.00E","049.40E","25.30N"
"Alps (switzerland)  ","01.00E","007.00E","46.00N"
"Alqatif (saudi arab)","03.00E","050.00E","26.35N"
"Alqunfidha (saudia) ","03.00E","041.04E","19.03N"
"Altai mts (mangolia)","08.00E","090.00E","47.00N"
"Altan bulak mangolia","08.00E","106.20E","50.02N"
"Alur                ","05.30E","077.15E","15.24N"
"Aluthnuwara (sl)    ","05.30E","080.44E","06.37N"
"Aluva               ","05.30E","076.21E","10.06N"
"Aluwihara (sl)      ","05.30E","080.38E","07.26N"
"Alvar tirunagari    ","05.30E","077.57E","08.36N"
"Alwalpur            ","05.30E","075.42E","31.28N"
"Alwar (raj)         ","05.30E","076.35E","27.32N"
"Alwara (raj)        ","05.30E","073.48E","29.21N"
"Alwaye (aluva)      ","05.30E","076.24E","10.07N"
"Ama                 ","05.30E","082.39E","26.53N"
"Amalapuram          ","05.30E","082.03E","16.36N"
"Amalner (bir)       ","05.30E","075.24E","18.57N"
"Amalner (khandesh)  ","05.30E","075.09E","21.01N"
"Amami amagasaki     ","09.00E","135.20E","34.42N"
"Amami gunto (japan) ","09.00E","129.00E","28.00N"
"Amanganj (m.p)      ","05.30E","080.02E","24.25N"
"Amaniganj (u.p)     ","05.30E","081.40E","26.40N"
"Amaraoti            ","05.30E","077.45E","20.56N"
"Amarapatah          ","05.30E","080.59E","24.18N"
"Amaravati (a.p)     ","05.30E","080.20E","16.35N"
"Amaravati (m.r.)    ","05.30E","077.50E","20.58N"
"Amargarh            ","05.30E","078.54E","25.42N"
"Amarkantak          ","05.30E","081.48E","22.40N"
"Amarkot             ","05.30E","069.04E","25.21N"
"Amarpur (bhagalpur) ","05.30E","086.55E","25.02N"
"Amarpur (saran)     ","05.30E","084.06E","26.06N"
"Amarwara            ","05.30E","079.12E","22.20N"
"Amas                ","05.30E","084.39E","24.38N"
"Amatulla            ","05.30E","092.06E","26.59N"
"Amaule              ","05.30E","080.01E","26.01N"
"Amawan              ","05.30E","083.27E","25.06N"
"Ambagon             ","05.30E","080.00E","20.38N"
"Ambah               ","05.30E","078.13E","26.43N"
"Ambahata            ","05.30E","077.20E","29.51N"
"Ambala              ","05.30E","076.52E","30.21N"
"Ambalangoda (sl)    ","05.30E","080.04E","06.10S"
"Ambasamudram  (tn)  ","05.30E","077.29E","08.43N"
"Ambaturai           ","05.30E","077.57E","10.18N"
